SeedX	SeedY	Weight 0	Weight 1	Weight 2	Weight 3	Weight 4	Weight 5	Weight 6	Weight 7	Weight 8	Weight 9	Weight 10	Weight 11	Weight 12	Weight 13	Weight 14	Weight 15	Weight 16	Weight 17	Weight 18	Weight 19	Weight 20	Weight 21	Weight 22	Weight 23	Weight 24	Weight 25	Weight 26	Weight 27	Weight 28	Weight 29	Weight 30	Weight 31	Weight 32	Weight 33	Weight 34	Weight 35	Weight 36	Weight 37	Weight 38	Weight 39	Weight 40	Weight 41	Weight 42	Weight 43	Weight 44	Weight 45	Weight 46	Weight 47	Weight 48	Weight 49	Weight 50	Weight 51	Weight 52	Weight 53	Weight 54	Weight 55	Weight 56	Weight 57	Weight 58	Weight 59	Weight 60	Weight 61	Weight 62	Weight 63	Weight 64	Weight 65	Weight 66	Weight 67	Weight 68	Weight 69	Weight 70	Weight 71	Weight 72	Weight 73	Weight 74	Weight 75	Weight 76	Weight 77	Weight 78	Weight 79	Weight 80	Weight 81	Weight 82	Weight 83	Weight 84	Weight 85	Weight 86	Weight 87	Weight 88	Weight 89	Weight 90	Weight 91	Weight 92	Weight 93	Weight 94	Weight 95	Weight 96	Weight 97	Weight 98	Weight 99	
0	0	1	1	1	1	1	0.146245	0	0	0	0	1	1	1	1	1	0.0494105	0	0	0	0	1	1	1	1	0.699597	0	0	0	0	0	1	1	1	0.923818	0.129992	0	0	0	0	0	1	1	0.693107	0.128387	0	0	0	0	0	0	0.145571	0.0499615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	1	1	0.144687	0	0	0	1	1	1	1	1	1	0.0503289	0	0	0	1	1	1	1	1	0.694889	0	0	0	0	1	1	1	1	0.919111	0.126836	0	0	0	0	0.976556	1	1	0.701128	0.128741	0	0	0	0	0	0.0491996	0.144333	0.0495805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	1	1	1	1	1	1	1	0.147674	0	0	1	1	1	1	1	1	1	0.0491587	0	0	1	1	1	1	1	1	0.703727	0	0	0	1	1	1	1	1	0.924526	0.126965	0	0	0	0.686079	0.980474	1	1	0.701903	0.126945	0	0	0	0	0	0.0503153	0.144599	0.0506418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	3	1	1	1	1	1	1	1	1	0.145626	0	1	1	1	1	1	1	1	1	0.0504989	0	1	1	1	1	1	1	1	0.698992	0	0	0.904246	1	1	1	1	1	0.917628	0.127958	0	0	0.127319	0.688978	0.979726	1	1	0.702339	0.127781	0	0	0	0	0	0.048288	0.144735	0.0490295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	1	1	1	1	1	1	1	1	1	0.148252	0.980454	1	1	1	1	1	1	1	1	0.0509411	0.687875	1	1	1	1	1	1	1	0.698522	0	0.126353	0.906253	1	1	1	1	1	0.921594	0.127346	0	0	0.12455	0.683923	0.980059	1	1	0.69989	0.129074	0	0	0	0	0	0.0495601	0.145224	0.0503969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	5	0.143252	1	1	1	1	1	1	1	1	1	0.049186	0.98457	1	1	1	1	1	1	1	1	0	0.682712	1	1	1	1	1	1	1	0.696522	0	0.125972	0.908532	1	1	1	1	1	0.92222	0.129353	0	0	0.126938	0.687474	0.981345	1	1	0.699325	0.12819	0	0	0	0	0	0.0492744	0.144775	0.0506894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	6	0	0.144184	1	1	1	1	1	1	1	1	0	0.0493832	0.985352	1	1	1	1	1	1	1	0	0	0.68627	1	1	1	1	1	1	1	0	0	0.127815	0.903402	1	1	1	1	1	0.920845	0	0	0	0.126815	0.686644	0.979875	1	1	0.695406	0.127863	0	0	0	0	0	0.0503901	0.145667	0.0500499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	7	0	0	0.143837	1	1	1	1	1	1	1	0	0	0.0483084	0.983814	1	1	1	1	1	1	0	0	0	0.68778	1	1	1	1	1	1	0	0	0	0.127142	0.905981	1	1	1	1	1	0	0	0	0	0.125958	0.684134	0.978841	1	1	0.696318	0	0	0	0	0	0	0.049737	0.144721	0.0505806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	8	0	0	0	0.143898	1	1	1	1	1	1	0	0	0	0.0490839	0.979372	1	1	1	1	1	0	0	0	0	0.686739	1	1	1	1	1	0	0	0	0	0.124598	0.907314	1	1	1	1	0	0	0	0	0	0.126033	0.683671	0.982535	1	1	0	0	0	0	0	0	0	0.0503017	0.145218	0.0503969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	0	0	0	0	0.142666	1	1	1	1	1	0	0	0	0	0.0481723	0.978528	1	1	1	1	0	0	0	0	0	0.682372	1	1	1	1	0	0	0	0	0	0.125414	0.905627	1	1	1	0	0	0	0	0	0	0.126591	0.685297	0.980739	1	0	0	0	0	0	0	0	0	0.0481383	0.144707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
