SeedX	SeedY	Weight 0	Weight 1	Weight 2	Weight 3	Weight 4	Weight 5	Weight 6	Weight 7	Weight 8	Weight 9	Weight 10	Weight 11	Weight 12	Weight 13	Weight 14	Weight 15	Weight 16	Weight 17	Weight 18	Weight 19	Weight 20	Weight 21	Weight 22	Weight 23	Weight 24	Weight 25	Weight 26	Weight 27	Weight 28	Weight 29	Weight 30	Weight 31	Weight 32	Weight 33	Weight 34	Weight 35	Weight 36	Weight 37	Weight 38	Weight 39	Weight 40	Weight 41	Weight 42	Weight 43	Weight 44	Weight 45	Weight 46	Weight 47	Weight 48	Weight 49	Weight 50	Weight 51	Weight 52	Weight 53	Weight 54	Weight 55	Weight 56	Weight 57	Weight 58	Weight 59	Weight 60	Weight 61	Weight 62	Weight 63	Weight 64	Weight 65	Weight 66	Weight 67	Weight 68	Weight 69	Weight 70	Weight 71	Weight 72	Weight 73	Weight 74	Weight 75	Weight 76	Weight 77	Weight 78	Weight 79	Weight 80	Weight 81	Weight 82	Weight 83	Weight 84	Weight 85	Weight 86	Weight 87	Weight 88	Weight 89	Weight 90	Weight 91	Weight 92	Weight 93	Weight 94	Weight 95	Weight 96	Weight 97	Weight 98	Weight 99	
0	0	1	1	1	1	0.20399	0	0	0	0	0	1	1	1	1	0.0781712	0	0	0	0	0	1	1	1	0.616821	0	0	0	0	0	0	1	1	0.614699	0.0310736	0	0	0	0	0	0	0.201439	0.076885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	1	0.204969	0	0	0	0	1	1	1	1	1	0.0787082	0	0	0	0	1	1	1	1	0.614634	0	0	0	0	0	0.980678	1	1	0.613139	0.0318012	0	0	0	0	0	0.0765255	0.201231	0.0770712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	1	1	1	1	1	1	0.204592	0	0	0	1	1	1	1	1	1	0.0771188	0	0	0	1	1	1	1	1	0.615162	0	0	0	0	0.605357	0.980185	1	1	0.617145	0.031	0	0	0	0	0	0.0760664	0.202803	0.0775432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	3	1	1	1	1	1	1	1	0.205969	0	0	0.985096	1	1	1	1	1	1	0.0775216	0	0	0.605119	1	1	1	1	1	0.614932	0	0	0	0.0302248	0.603395	0.982965	1	1	0.616998	0.0310649	0	0	0	0	0	0.0760664	0.201513	0.0773614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	0.200205	1	1	1	1	1	1	1	0.202708	0	0.0757763	0.980414	1	1	1	1	1	1	0.0758109	0	0	0.606111	1	1	1	1	1	0.615054	0	0	0	0.0310346	0.606124	0.982454	1	1	0.61721	0.0312295	0	0	0	0	0	0.0747672	0.201825	0.0773397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	5	0	0.200266	1	1	1	1	1	1	1	0.20331	0	0.0755814	0.982701	1	1	1	1	1	1	0.0772877	0	0	0.604426	1	1	1	1	1	0.61731	0	0	0	0.0309437	0.604227	0.984121	1	1	0.613858	0.0316539	0	0	0	0	0	0.0761314	0.202072	0.078483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	6	0	0	0.200686	1	1	1	1	1	1	1	0	0	0.0757936	0.983039	1	1	1	1	1	1	0	0	0	0.604829	1	1	1	1	1	0.617661	0	0	0	0.0306882	0.603469	0.981891	1	1	0.618427	0.031537	0	0	0	0	0	0.0764605	0.203115	0.076885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	7	0	0	0	0.202349	1	1	1	1	1	1	0	0	0	0.0759365	0.978643	1	1	1	1	1	0	0	0	0	0.605565	1	1	1	1	1	0	0	0	0	0.0310736	0.607713	0.983377	1	1	0.616747	0	0	0	0	0	0	0.0752046	0.201686	0.0769239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	8	0	0	0	0	0.200512	1	1	1	1	1	0	0	0	0	0.0753865	0.982424	1	1	1	1	0	0	0	0	0	0.606565	1	1	1	1	0	0	0	0	0	0.0308441	0.606791	0.982047	1	1	0	0	0	0	0	0	0	0.0759625	0.202786	0.0774696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	0	0	0	0	0	0.200469	1	1	1	1	0	0	0	0	0	0.0759798	0.978422	1	1	1	0	0	0	0	0	0	0.607943	1	1	1	0	0	0	0	0	0	0.0310779	0.607739	0.980657	1	0	0	0	0	0	0	0	0	0.0766381	0.201777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
