SeedX	SeedY	Weight 0	Weight 1	Weight 2	Weight 3	Weight 4	Weight 5	Weight 6	Weight 7	Weight 8	Weight 9	Weight 10	Weight 11	Weight 12	Weight 13	Weight 14	Weight 15	Weight 16	Weight 17	Weight 18	Weight 19	Weight 20	Weight 21	Weight 22	Weight 23	Weight 24	Weight 25	Weight 26	Weight 27	Weight 28	Weight 29	Weight 30	Weight 31	Weight 32	Weight 33	Weight 34	Weight 35	Weight 36	Weight 37	Weight 38	Weight 39	Weight 40	Weight 41	Weight 42	Weight 43	Weight 44	Weight 45	Weight 46	Weight 47	Weight 48	Weight 49	Weight 50	Weight 51	Weight 52	Weight 53	Weight 54	Weight 55	Weight 56	Weight 57	Weight 58	Weight 59	Weight 60	Weight 61	Weight 62	Weight 63	Weight 64	Weight 65	Weight 66	Weight 67	Weight 68	Weight 69	Weight 70	Weight 71	Weight 72	Weight 73	Weight 74	Weight 75	Weight 76	Weight 77	Weight 78	Weight 79	Weight 80	Weight 81	Weight 82	Weight 83	Weight 84	Weight 85	Weight 86	Weight 87	Weight 88	Weight 89	Weight 90	Weight 91	Weight 92	Weight 93	Weight 94	Weight 95	Weight 96	Weight 97	Weight 98	Weight 99	
0	0	1	1	1	1	1	0.326424	0	0	0	0	1	1	1	1	1	0.216894	0	0	0	0	1	1	1	1	0.88312	0.0113738	0	0	0	0	1	1	1	1	0.280753	0	0	0	0	0	1	1	0.880602	0.284837	0	0	0	0	0	0	0.317392	0.215686	0.0111982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	1	1	0.321827	0	0	0	1	1	1	1	1	1	0.216169	0	0	0	1	1	1	1	1	0.882754	0.0114324	0	0	0	1	1	1	1	1	0.282721	0	0	0	0	1	1	1	0.881049	0.282158	0	0	0	0	0	0.211133	0.317977	0.214039	0.0115641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	1	1	1	1	1	1	1	0.322625	0	0	1	1	1	1	1	1	1	0.213798	0	0	1	1	1	1	1	1	0.880609	0.0119886	0	0	1	1	1	1	1	1	0.280028	0	0	0	0.86431	1	1	1	0.880551	0.282399	0	0	0	0	0.0108469	0.213966	0.318753	0.214003	0.0115056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	3	1	1	1	1	1	1	1	1	0.322391	0	1	1	1	1	1	1	1	1	0.214398	0	1	1	1	1	1	1	1	0.878538	0.0111543	0	0.982725	1	1	1	1	1	1	0.282019	0	0	0.277532	0.866389	1	1	1	0.882783	0.282648	0	0	0	0	0.0108908	0.212744	0.321988	0.215759	0.0120106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	1	1	1	1	1	1	1	1	1	0.322157	0.988976	1	0.988976	1	1	1	1	1	1	0.214244	0.864961	1	1	1	1	1	1	1	0.884591	0.0109201	0.278366	0.977975	1	1	1	1	1	1	0.282187	0	0	0.277993	0.864178	1	1	1	0.881451	0.281411	0	0	0	0	0.010942	0.212136	0.319273	0.214727	0.0110884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	5	0.315313	1	1	1	1	1	1	1	1	1	0.213263	1	1	1	1	1	1	1	1	1	0.0106639	0.864632	1	1	0.989708	1	1	1	1	0.879709	0	0.275724	0.982857	1	1	1	1	1	1	0.282875	0	0	0.276215	0.862509	1	1	1	0.878355	0.283241	0	0	0	0	0.0105029	0.211609	0.319522	0.214676	0.0113007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	6	0	0.31442	1	1	1	1	1	1	1	1	0	0.211133	1	1	1	1	1	1	1	1	0	0.0107224	0.86824	1	1	1	1	1	1	1	0	0	0.276412	0.981386	1	1	1	1	1	1	0	0	0	0.279735	0.865561	1	1	1	0.87949	0.282897	0	0	0	0	0.0107224	0.211229	0.318607	0.215635	0.0116593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	7	0	0	0.314464	1	1	1	1	1	1	1	0	0	0.21341	1	1	1	1	1	1	1	0	0	0.011469	0.867662	1	1	1	1	1	1	0	0	0	0.276442	0.974133	1	1	1	1	1	0	0	0	0	0.276266	0.867904	1	1	1	0.88585	0	0	0	0	0	0.0111616	0.213256	0.318087	0.213724	0.0112421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	8	0	0	0	0.314186	1	1	1	1	1	1	0	0	0	0.212751	1	1	1	1	1	1	0	0	0	0.0105102	0.865898	1	1	1	1	1	0	0	0	0	0.276178	0.980025	1	1	1	1	0	0	0	0	0	0.27863	0.863402	0.988983	1	1	0	0	0	0	0	0	0.0112275	0.2142	0.32111	0.214939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	0	0	0	0	0.318643	1	1	1	1	1	0	0	0	0	0.208089	1	1	1	1	1	0	0	0	0	0.0107224	0.862648	1	1	1	1	0	0	0	0	0	0.278176	0.978341	1	1	1	0	0	0	0	0	0	0.275951	0.865671	1	1	0	0	0	0	0	0	0	0.0111982	0.213132	0.318841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
