SeedX	SeedY	Weight 0	Weight 1	Weight 2	Weight 3	Weight 4	Weight 5	Weight 6	Weight 7	Weight 8	Weight 9	Weight 10	Weight 11	Weight 12	Weight 13	Weight 14	Weight 15	Weight 16	Weight 17	Weight 18	Weight 19	Weight 20	Weight 21	Weight 22	Weight 23	Weight 24	Weight 25	Weight 26	Weight 27	Weight 28	Weight 29	Weight 30	Weight 31	Weight 32	Weight 33	Weight 34	Weight 35	Weight 36	Weight 37	Weight 38	Weight 39	Weight 40	Weight 41	Weight 42	Weight 43	Weight 44	Weight 45	Weight 46	Weight 47	Weight 48	Weight 49	Weight 50	Weight 51	Weight 52	Weight 53	Weight 54	Weight 55	Weight 56	Weight 57	Weight 58	Weight 59	Weight 60	Weight 61	Weight 62	Weight 63	Weight 64	Weight 65	Weight 66	Weight 67	Weight 68	Weight 69	Weight 70	Weight 71	Weight 72	Weight 73	Weight 74	Weight 75	Weight 76	Weight 77	Weight 78	Weight 79	Weight 80	Weight 81	Weight 82	Weight 83	Weight 84	Weight 85	Weight 86	Weight 87	Weight 88	Weight 89	Weight 90	Weight 91	Weight 92	Weight 93	Weight 94	Weight 95	Weight 96	Weight 97	Weight 98	Weight 99	
0	0	1	1	1	1	0.581698	0	0	0	0	0	1	1	1	1	0.453458	0	0	0	0	0	1	1	1	0.959386	0.0972126	0	0	0	0	0	1	1	0.961493	0.296076	0	0	0	0	0	0	0.575352	0.454055	0.0984755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	1	0.579995	0	0	0	0	1	1	1	1	1	0.454778	0	0	0	0	1	1	1	1	0.962441	0.0970082	0	0	0	0	1	1	1	0.960005	0.295222	0	0	0	0	0	0.447987	0.575273	0.455093	0.097789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	1	1	1	1	1	1	0.577464	0	0	0	1	1	1	1	1	1	0.454322	0	0	0	1	1	1	1	1	0.961069	0.0981139	0	0	0	0.942303	1	1	1	0.95739	0.291213	0	0	0	0	0.0973278	0.448375	0.574713	0.454951	0.0967147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	3	1	1	1	1	1	1	1	0.58218	0	0	1	1	1	1	1	1	1	0.455114	0	0	0.942513	1	1	1	1	1	0.958417	0.0965575	0	0	0.288069	0.939777	1	1	1	0.958129	0.292083	0	0	0	0	0.0946396	0.445513	0.575887	0.452216	0.098182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	0.568985	1	1	1	1	1	1	1	0.578391	0	0.442128	1	1	1	1	1	1	1	0.454149	0	0.0954204	0.944362	1	1	1	1	1	0.959685	0.0970711	0	0	0.285858	0.944682	1	1	1	0.965643	0.292607	0	0	0	0	0.0970344	0.448238	0.576872	0.456979	0.0974222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	5	0	0.570678	1	1	1	1	1	1	1	0.582882	0	0.446514	0.989984	1	1	1	1	1	1	0.456754	0	0.097527	0.945688	1	1	1	1	1	0.95695	0.097396	0	0	0.28896	0.942958	1	1	1	0.958883	0.293514	0	0	0	0	0.0950902	0.449412	0.573597	0.455171	0.0973069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	6	0	0	0.568639	1	1	1	1	1	1	1	0	0	0.448107	1	1	1	1	1	1	1	0	0	0.097941	0.945929	1	1	1	1	1	0.96187	0	0	0	0.287482	0.945054	1	1	1	0.962646	0.293351	0	0	0	0	0.0962274	0.448888	0.576442	0.453835	0.0984597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	7	0	0	0	0.570531	1	1	1	1	1	1	0	0	0	0.449271	1	1	1	1	1	1	0	0	0	0.0951898	0.940217	1	1	1	1	1	0	0	0	0	0.285538	0.942859	1	1	1	0.961577	0	0	0	0	0	0.0957348	0.447531	0.579319	0.453222	0.0987794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	8	0	0	0	0	0.569399	1	1	1	1	1	0	0	0	0	0.446939	1	1	1	1	1	0	0	0	0	0.0954675	0.942413	1	1	1	1	0	0	0	0	0	0.285548	0.941653	1	1	1	0	0	0	0	0	0	0.0965732	0.445183	0.572428	0.452572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	0	0	0	0	0	0.569132	1	1	1	1	0	0	0	0	0	0.445613	1	1	1	1	0	0	0	0	0	0.0946396	0.938729	1	1	1	0	0	0	0	0	0	0.286817	0.943451	1	1	0	0	0	0	0	0	0	0.0953837	0.448794	0.574938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	1	1	1	1	0.451147	0	0	0	0	0	1	1	1	1	0.582138	0	0	0	0	0	1	1	1	1	0.454013	0	0	0	0	0	1	1	1	0.956646	0.098596	0	0	0	0	0	1	1	0.965161	0.291742	0	0	0	0	0	0	0.575583	0.454668	0.0971706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	0.450932	0	0	0	0	1	1	1	1	1	0.582421	0	0	0	0	1	1	1	1	1	0.454501	0	0	0	0	1	1	1	1	0.960964	0.0979881	0	0	0	0	1	1	1	0.959355	0.291554	0	0	0	0	0	0.445089	0.577632	0.453002	0.0980562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
