SeedX	SeedY	Weight 0	Weight 1	Weight 2	Weight 3	Weight 4	Weight 5	Weight 6	Weight 7	Weight 8	Weight 9	Weight 10	Weight 11	Weight 12	Weight 13	Weight 14	Weight 15	Weight 16	Weight 17	Weight 18	Weight 19	Weight 20	Weight 21	Weight 22	Weight 23	Weight 24	Weight 25	Weight 26	Weight 27	Weight 28	Weight 29	Weight 30	Weight 31	Weight 32	Weight 33	Weight 34	Weight 35	Weight 36	Weight 37	Weight 38	Weight 39	Weight 40	Weight 41	Weight 42	Weight 43	Weight 44	Weight 45	Weight 46	Weight 47	Weight 48	Weight 49	Weight 50	Weight 51	Weight 52	Weight 53	Weight 54	Weight 55	Weight 56	Weight 57	Weight 58	Weight 59	Weight 60	Weight 61	Weight 62	Weight 63	Weight 64	Weight 65	Weight 66	Weight 67	Weight 68	Weight 69	Weight 70	Weight 71	Weight 72	Weight 73	Weight 74	Weight 75	Weight 76	Weight 77	Weight 78	Weight 79	Weight 80	Weight 81	Weight 82	Weight 83	Weight 84	Weight 85	Weight 86	Weight 87	Weight 88	Weight 89	Weight 90	Weight 91	Weight 92	Weight 93	Weight 94	Weight 95	Weight 96	Weight 97	Weight 98	Weight 99	
0	0	1	1	1	1	0.480404	0	0	0	0	0	1	1	1	1	0.349595	0	0	0	0	0	1	1	1	0.900053	0.0412265	0	0	0	0	0	1	1	0.898711	0.197591	0	0	0	0	0	0	0.475614	0.348213	0.0414411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	1	0.477465	0	0	0	0	1	1	1	1	1	0.350393	0	0	0	0	1	1	1	1	0.898287	0.0411716	0	0	0	0	1	1	1	0.902174	0.197466	0	0	0	0	0	0.344705	0.476717	0.350263	0.0416356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	1	1	1	1	1	1	0.478718	0	0	0	1	1	1	1	1	1	0.348512	0	0	0	1	1	1	1	1	0.900233	0.0416606	0	0	0	0.88314	1	1	1	0.900248	0.19795	0	0	0	0	0.040987	0.343388	0.474502	0.348881	0.0413463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	3	1	1	1	1	1	1	1	0.481541	0	0	1	1	1	1	1	1	1	0.349375	0	0	0.883539	1	1	1	1	1	0.901091	0.0412265	0	0	0.193295	0.884786	1	1	1	0.900682	0.197132	0	0	0	0	0.041007	0.345893	0.47291	0.348722	0.0411666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	0.472461	1	1	1	1	1	1	1	0.48234	0	0.343747	1	1	1	1	1	1	1	0.347574	0	0.0408972	0.883484	1	1	1	1	1	0.898352	0.0410419	0	0	0.194567	0.883035	1	1	1	0.907013	0.197282	0	0	0	0	0.0406478	0.343667	0.479446	0.350947	0.0415209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	5	0	0.467976	1	1	1	1	1	1	1	0.482924	0	0.345204	1	1	1	1	1	1	1	0.350124	0	0.0393905	0.886263	1	1	1	1	1	0.897324	0.0420048	0	0	0.194073	0.888583	1	1	1	0.900088	0.198165	0	0	0	0	0.0407875	0.345289	0.472371	0.351346	0.0413463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	6	0	0	0.472541	1	1	1	1	1	1	1	0	0	0.345244	1	1	1	1	1	1	1	0	0	0.0406478	0.884302	1	1	1	1	1	0.902034	0	0	0	0.194717	0.886567	1	1	1	0.904499	0.197416	0	0	0	0	0.0402985	0.344311	0.475115	0.349824	0.0402336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	7	0	0	0	0.471558	1	1	1	1	1	1	0	0	0	0.343992	1	1	1	1	1	1	0	0	0	0.0404681	0.886278	1	1	1	1	1	0	0	0	0	0.195111	0.886427	1	1	1	0.901031	0	0	0	0	0	0.0413163	0.343478	0.474871	0.350972	0.0414161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	8	0	0	0	0	0.471328	1	1	1	1	1	0	0	0	0	0.343912	1	1	1	1	1	0	0	0	0	0.0408872	0.884786	1	1	1	1	0	0	0	0	0	0.194283	0.887251	1	1	1	0	0	0	0	0	0	0.0397796	0.344511	0.477425	0.35165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	0	0	0	0	0	0.472411	1	1	1	1	0	0	0	0	0	0.343563	1	1	1	1	0	0	0	0	0	0.0408374	0.886562	1	1	1	0	0	0	0	0	0	0.193111	0.886462	1	1	0	0	0	0	0	0	0	0.0404482	0.344331	0.475225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
